timestamp,close,position_btc,equity,drawdown,target_exposure,action,bar_state,target_exposure_raw,target_exposure_final,delta_e,delta_e_min,suppressed,clamped_long_only
1970-01-01 00:28:34.197600+00:00,63028.0,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031602793098166465,True,False
1970-01-01 00:28:34.201200+00:00,62966.83,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031590394391490084,True,False
1970-01-01 00:28:34.204800+00:00,63016.01,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031602793098166465,True,False
1970-01-01 00:28:34.208400+00:00,62984.45,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03160286134758561,True,False
1970-01-01 00:28:34.212000+00:00,62796.0,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03160965889039552,True,False
1970-01-01 00:28:34.215600+00:00,62862.14,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031603127100451295,True,False
1970-01-01 00:28:34.219200+00:00,63034.62,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031607565984728,True,False
1970-01-01 00:28:34.222800+00:00,63227.09,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031611903093600596,True,False
1970-01-01 00:28:34.226400+00:00,63131.65,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031610324471882834,True,False
1970-01-01 00:28:34.230000+00:00,62951.75,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03161824975610608,True,False
1970-01-01 00:28:34.233600+00:00,62750.0,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03162240331140287,True,False
1970-01-01 00:28:34.237200+00:00,63416.21,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03170471517173676,True,False
1970-01-01 00:28:34.240800+00:00,63339.05,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031692907803053394,True,False
1970-01-01 00:28:34.244400+00:00,63352.11,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03168332468204402,True,False
1970-01-01 00:28:34.248000+00:00,63277.99,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03168434301082276,True,False
1970-01-01 00:28:34.251600+00:00,63289.57,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03167991265825468,True,False
1970-01-01 00:28:34.255200+00:00,63259.99,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031614412352870574,True,False
1970-01-01 00:28:34.258800+00:00,63461.98,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03161364547141743,True,False
1970-01-01 00:28:34.262400+00:00,63616.57,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03160821001962891,True,False
1970-01-01 00:28:34.266000+00:00,63603.6,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.031594392421538386,True,False
1970-01-01 00:28:34.269600+00:00,63950.0,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03161886393621735,True,False
1970-01-01 00:28:34.273200+00:00,64021.62,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03161097156541684,True,False
1970-01-01 00:28:34.276800+00:00,63843.14,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03160925257768252,True,False
1970-01-01 00:28:34.280400+00:00,63953.99,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03159866058204855,True,False
1970-01-01 00:28:34.284000+00:00,63967.14,0.0,1000.0,0.0,0.0,HOLD,closed,0.0,0.0,0.0,0.03159676619419863,True,False
